id,Dorsal,Nombre,Apellido,Team,Posicion,OPS,%_On_Base,Slugging,Fecha Nac,Edad,F_Debut,Lugar_Nacimiento,Pais,Peso,Estatura(mtrs),Mano_Bateo,Mano_Lanzar,Juegos_Jugados,Turnos_Bate,Carrera,Hits,Dobles,Triple,Jonrones,Carreras_Impulsadas,Boletos,Ponches,Bases_Robadas,Atrapado_Robando,Promedio,Link_Ficha_Player,IMC
650490,2,Yandy,Diaz,TB,1B,0.8240000000000001,0.401,0.423,1991-08-08,31,2017-04-03, Cuba,Cuba,97.52,1.88,R,R,137,473,71,140,33,0,9,57,78,60,3,3,0.296,https://www.mlb.com/es/player/650490,27.591670439112722
608324,2,Alex,Bregman,HOU,3B,0.8200000000000001,0.366,0.454,1994-03-30,29,2016-07-25, NM,USA,87.09,1.83,R,R,155,548,93,142,38,0,23,93,87,77,1,2,0.259,https://www.mlb.com/es/player/608324,26.00555406252799
592663,10,J.T.,Realmuto,PHI,C,0.8200000000000001,0.342,0.478,1991-03-18,32,2014-06-05, OK,USA,96.16,1.85,R,R,139,504,75,139,26,5,22,84,41,119,21,1,0.276,https://www.mlb.com/es/player/592663,28.09642074506939
665489,27,Vladimir,Guerrero,TOR,1B,0.819,0.339,0.48,1999-03-16,24,2019-04-26, Canada,Canada,111.13,1.88,R,R,160,638,90,175,35,0,32,97,58,116,8,3,0.274,https://www.mlb.com/es/player/665489,31.442394748755092
519203,48,Anthony,Rizzo,NYY,1B,0.8180000000000001,0.338,0.48,1989-08-08,33,2011-06-09, FL,USA,108.86,1.91,L,L,130,465,77,104,21,1,32,75,58,101,6,5,0.224,https://www.mlb.com/es/player/519203,29.840190784243855
516782,6,Starling,Marte,NYM,RF,0.815,0.347,0.468,1988-10-09,34,2012-07-26, Dominican Republic,Dominican Republic,88.45,1.85,R,R,118,466,76,136,24,5,16,63,26,97,18,9,0.292,https://www.mlb.com/es/player/516782,25.843681519357194
543807,4,George,Springer,TOR,RF,0.8140000000000001,0.342,0.472,1989-09-19,33,2014-04-16, CT,USA,99.79,1.91,R,R,133,513,89,137,22,4,25,76,54,100,14,2,0.267,https://www.mlb.com/es/player/543807,27.35396507771169
592273,23,Brandon,Drury,SD,2B,0.812,0.32,0.492,1992-08-21,30,2015-09-01, OR,USA,104.33,1.88,R,R,138,518,87,136,31,2,28,87,38,126,2,3,0.263,https://www.mlb.com/es/player/592273,29.518447261204166
607208,7,Trea,Turner,LAD,SS,0.809,0.343,0.466,1993-06-30,29,2015-08-21, FL,USA,83.91,1.88,R,R,160,652,101,194,39,4,21,100,45,131,27,3,0.298,https://www.mlb.com/es/player/607208,23.74094612947035
669257,16,Will,Smith,LAD,C,0.808,0.343,0.465,1995-03-28,28,2019-05-28, KY,USA,88.45,1.55,R,R,137,508,68,132,26,3,24,87,56,96,1,0,0.26,https://www.mlb.com/es/player/669257,36.81581685744016
663656,30,Kyle,Tucker,HOU,RF,0.808,0.33,0.478,1997-01-17,26,2018-07-07, FL,USA,90.26,1.93,L,R,150,544,71,140,28,1,30,107,59,95,25,4,0.257,https://www.mlb.com/es/player/663656,24.23152299390588
606192,35,Teoscar,Hernandez,TOR,RF,0.8069999999999999,0.316,0.491,1992-10-15,30,2016-08-12, Dominican Republic,Dominican Republic,97.52,1.88,R,R,131,499,71,133,35,1,25,77,34,152,6,3,0.267,https://www.mlb.com/es/player/606192,27.591670439112722
592669,12,Hunter,Renfroe,MIL,RF,0.8069999999999999,0.315,0.492,1992-01-28,31,2016-09-21, MS,USA,104.33,1.85,R,R,125,474,62,121,23,1,29,72,39,121,1,1,0.255,https://www.mlb.com/es/player/592669,30.483564645726805
668804,10,Bryan,Reynolds,PIT,LF,0.806,0.345,0.461,1995-01-27,28,2019-04-20, MD,USA,92.99,1.91,S,R,145,542,74,142,19,4,27,62,56,141,7,3,0.262,https://www.mlb.com/es/player/668804,25.48998108604479
572233,53,Christian,Walker,AZ,1B,0.804,0.327,0.477,1991-03-28,32,2014-09-17, PA,USA,94.35,1.83,R,R,160,583,84,141,25,2,36,94,69,131,2,2,0.242,https://www.mlb.com/es/player/572233,28.1734300815193
666182,11,Bo,Bichette,TOR,SS,0.802,0.333,0.469,1998-03-05,25,2019-07-29, FL,USA,86.18,1.83,R,R,159,652,91,189,43,1,24,93,41,155,13,8,0.29,https://www.mlb.com/es/player/666182,25.733823046373434
621566,28,Matt,Olson,ATL,1B,0.802,0.325,0.477,1994-03-29,29,2016-09-12, GA,USA,102.06,1.96,L,R,162,616,86,148,44,0,34,103,75,170,0,0,0.24,https://www.mlb.com/es/player/621566,26.56705539358601
607043,9,Brandon,Nimmo,NYM,CF,0.8,0.367,0.433,1993-03-27,30,2016-06-26, WY,USA,93.44,1.91,L,R,151,580,102,159,30,7,16,64,71,116,3,2,0.274,https://www.mlb.com/es/player/607043,25.613332967846276
650333,3,Luis,Arraez,MIN,2B,0.7949999999999999,0.375,0.42,1997-04-09,26,2019-05-18, Venezuela,Venezuela,79.38,1.55,L,R,144,547,88,173,31,1,8,49,50,43,4,4,0.316,https://www.mlb.com/es/player/650333,33.04058272632674
656555,17,Rhys,Hoskins,PHI,1B,0.794,0.332,0.462,1993-03-17,30,2017-08-10, CA,USA,111.13,1.93,R,R,156,589,81,145,33,2,30,79,72,169,2,1,0.246,https://www.mlb.com/es/player/656555,29.834357969341458
553993,28,Eugenio,Suarez,SEA,3B,0.791,0.332,0.459,1991-07-18,31,2014-06-04, Venezuela,Venezuela,96.62,1.55,R,R,150,543,76,128,24,2,31,87,73,196,0,0,0.236,https://www.mlb.com/es/player/553993,40.21644120707596
502110,28,J.D.,Martinez,BOS,DH,0.789,0.341,0.448,1987-08-21,35,2011-07-30, FL,USA,104.33,1.91,R,R,139,533,76,146,43,1,16,62,52,145,0,0,0.274,https://www.mlb.com/es/player/502110,28.59844850744223
596019,12,Francisco,Lindor,NYM,SS,0.788,0.339,0.449,1993-11-14,29,2015-06-14, Puerto Rico,Puerto Rico,86.18,1.55,S,R,161,630,98,170,25,5,26,107,59,133,16,6,0.27,https://www.mlb.com/es/player/596019,35.87096774193548
457759,2,Justin,Turner,LAD,DH,0.788,0.35,0.438,1984-11-23,38,2009-09-08, CA,USA,91.63,1.55,R,R,128,468,61,130,36,0,13,81,50,89,3,0,0.278,https://www.mlb.com/es/player/457759,38.139438085327775
672386,30,Alejandro,Kirk,TOR,C,0.7869999999999999,0.372,0.415,1998-11-06,24,2020-09-12, Mexico,Mexico,111.13,1.73,R,R,139,470,59,134,19,0,14,63,63,58,0,0,0.285,https://www.mlb.com/es/player/672386,37.13121053159143
605137,55,Josh,Bell,SD,DH,0.784,0.362,0.422,1992-08-14,30,2016-07-08, TX,USA,118.39,1.93,S,R,156,552,78,147,29,3,17,71,81,102,0,1,0.266,https://www.mlb.com/es/player/605137,31.783403581304196
543068,25,C.J.,Cron,COL,1B,0.783,0.315,0.468,1990-01-05,33,2014-05-03, CA,USA,106.59,1.93,R,R,150,575,79,148,28,3,29,102,43,164,0,0,0.257,https://www.mlb.com/es/player/543068,28.615533302907462
664023,8,Ian,Happ,CHC,LF,0.782,0.342,0.44,1994-08-12,28,2017-05-13, PA,USA,92.99,1.83,S,R,158,573,72,155,42,2,17,72,58,149,9,4,0.271,https://www.mlb.com/es/player/664023,27.76732658484875
621020,7,Dansby,Swanson,ATL,SS,0.776,0.329,0.447,1994-02-11,29,2016-08-17, GA,USA,86.18,1.85,R,R,162,640,99,177,32,1,25,96,49,182,18,7,0.277,https://www.mlb.com/es/player/621020,25.18042366691015
664034,23,Ty,France,SEA,1B,0.774,0.338,0.436,1994-07-13,28,2019-04-26, CA,USA,97.52,1.55,R,R,140,551,65,151,27,1,20,83,35,94,0,0,0.274,https://www.mlb.com/es/player/664034,40.59105098855358
680757,38,Steven,Kwan,CLE,LF,0.773,0.373,0.4,1997-09-05,25,2022-04-07, CA,USA,77.11,1.75,L,L,147,563,89,168,25,7,6,52,62,60,19,5,0.298,https://www.mlb.com/es/player/680757,25.17877551020408
623993,25,Anthony,Santander,BAL,RF,0.773,0.318,0.455,1994-10-19,28,2017-08-18, Venezuela,Venezuela,104.33,1.88,S,R,152,574,78,138,24,0,33,89,55,122,0,2,0.24,https://www.mlb.com/es/player/623993,29.518447261204166
668227,56,Randy,Arozarena,TB,LF,0.772,0.327,0.445,1995-02-28,28,2019-08-14, Cuba,Cuba,83.91,1.55,R,R,153,586,72,154,41,3,20,89,46,156,32,12,0.263,https://www.mlb.com/es/player/668227,34.92611862643079
643217,23,Andrew,Benintendi,NYY,LF,0.772,0.373,0.399,1994-07-06,28,2016-08-02, OH,USA,81.65,1.75,L,L,126,461,54,140,23,3,5,51,52,77,8,3,0.304,https://www.mlb.com/es/player/643217,26.66122448979592
608369,5,Corey,Seager,TEX,SS,0.772,0.317,0.455,1994-04-27,29,2015-09-03, NC,USA,97.52,1.93,L,R,151,593,91,145,24,1,33,83,58,103,3,0,0.245,https://www.mlb.com/es/player/608369,26.180568605868615
592192,19,Mark,Canha,NYM,LF,0.77,0.367,0.403,1989-02-15,34,2015-04-08, CA,USA,94.8,1.88,R,R,140,462,71,123,24,0,13,61,48,97,3,1,0.266,https://www.mlb.com/es/player/592192,26.82209144409235
642133,11,Rowdy,Tellez,MIL,1B,0.767,0.306,0.461,1995-03-16,28,2018-09-05, CA,USA,122.47,1.93,L,L,153,529,67,116,23,0,35,89,62,121,2,1,0.219,https://www.mlb.com/es/player/642133,32.878734999597306
570482,10,Gio,Urshela,MIN,3B,0.767,0.338,0.429,1991-10-11,31,2015-06-09, Colombia,Colombia,97.52,1.83,R,R,144,501,61,143,27,3,13,64,41,96,1,0,0.285,https://www.mlb.com/es/player/570482,29.120009555376388
