id,Nombre,Apellido,Team,Juegos_Jugados,Turnos_Bate,Carrera,Hits,Dobles,Triple,Jonrones,Carreras_Impulsadas,Boletos,Ponches,Bases_Robadas,Atrapado_Robando,Promedio,%_On_Base,Slugging
650402,Gleyber,Torres,NYY,140,526,73,135,28,1,24,76,39,129,10,5,.257,.310,.451
669221,Sean,Murphy,OAK,148,537,67,134,37,2,18,66,56,124,1,0,.250,.332,.426
656305,Matt,Chapman,TOR,155,538,83,123,27,1,27,76,68,170,2,2,.229,.324,.433
642715,Willy,Adames,MIL,139,563,83,134,31,0,31,98,49,166,8,3,.238,.298,.458
666969,Adolis,Garcia,TEX,156,605,88,151,34,5,27,101,40,183,25,6,.250,.300,.456
683734,Andrew,Vaughn,CWS,134,510,60,138,28,1,17,76,31,96,0,0,.271,.321,.429
664913,Seth,Brown,OAK,150,500,55,115,26,3,25,73,51,146,11,2,.230,.305,.444
662139,Daulton,Varsho,AZ,151,531,79,125,23,3,27,74,46,145,16,6,.235,.302,.443
641857,Ryan,McMahon,COL,153,529,67,130,23,3,20,67,60,158,7,3,.246,.327,.414
668942,Josh,Rojas,AZ,125,443,66,119,25,1,9,56,55,98,23,3,.269,.349,.391
592885,Christian,Yelich,MIL,154,575,99,145,25,4,14,57,88,162,19,3,.252,.355,.383
663538,Nico,Hoerner,CHC,135,481,60,135,22,5,10,55,28,57,20,2,.281,.327,.410
518934,DJ,LeMahieu,NYY,125,467,74,122,18,0,12,46,67,71,4,3,.261,.357,.377
453568,Charlie,Blackmon,COL,135,530,60,140,22,6,16,78,32,109,4,1,.264,.314,.419
663898,Brendan,Rodgers,COL,137,527,72,140,30,3,13,63,46,101,0,0,.266,.325,.408
543760,Marcus,Semien,TEX,161,657,101,163,31,5,26,83,53,120,25,8,.248,.304,.429
657077,Alex,Verdugo,BOS,152,593,75,166,39,1,11,74,42,86,1,3,.280,.328,.405
606466,Ketel,Marte,AZ,137,492,68,118,42,2,12,52,55,101,5,1,.240,.321,.407
663624,Ryan,Mountcastle,BAL,145,555,62,139,28,1,22,85,43,154,4,1,.250,.305,.423
500871,Eduardo,Escobar,NYM,136,495,58,119,26,4,20,69,40,129,0,2,.240,.295,.430
669242,Tommy,Edman,STL,153,577,95,153,31,4,13,57,46,111,32,3,.265,.324,.400
545341,Randal,Grichuk,COL,141,506,60,131,21,3,19,73,24,127,4,0,.259,.299,.425
621550,Patrick,Wisdom,CHC,134,469,67,97,28,0,25,66,53,183,8,4,.207,.298,.426
650859,Luis,Rengifo,LAA,127,489,45,129,22,4,17,52,17,79,6,2,.264,.294,.429
630105,Jake,Cronenworth,SD,158,587,88,140,30,4,17,88,70,131,3,0,.239,.332,.390
642731,Thairo,Estrada,SF,140,488,71,127,22,2,14,62,33,89,21,6,.260,.322,.400
595777,Jurickson,Profar,SD,152,575,82,140,36,2,15,58,73,103,5,1,.243,.331,.391
677951,Bobby,Witt,KC,150,591,82,150,31,6,20,80,30,135,30,7,.254,.294,.428
656775,Cedric,Mullins,BAL,156,608,89,157,32,4,16,64,47,126,34,10,.258,.318,.403
669720,Austin,Hays,BAL,145,535,66,134,35,2,16,60,34,114,2,4,.250,.306,.413
665161,Jeremy,Pena,HOU,136,521,72,132,20,2,22,63,22,135,11,2,.253,.289,.426
642708,Amed,Rosario,CLE,153,637,86,180,26,9,11,71,25,111,18,4,.283,.312,.403
664761,Alec,Bohm,PHI,152,586,79,164,24,3,13,72,31,110,2,3,.280,.315,.398
571970,Max,Muncy,LAD,136,464,69,91,22,1,21,69,90,141,2,0,.196,.329,.384
527038,Wilmer,Flores,SF,151,525,72,120,28,1,19,71,59,103,0,0,.229,.316,.394
641820,Trey,Mancini,HOU,143,519,56,124,23,1,18,63,53,135,0,0,.239,.319,.391
572228,Luke,Voit,WSH,135,500,55,113,22,0,22,69,55,179,1,1,.226,.308,.402
673490,Ha-Seong,Kim,SD,150,517,58,130,29,3,11,59,51,100,12,2,.251,.325,.383
462101,Elvis,Andrus,CWS,149,535,66,133,32,0,17,58,39,92,18,4,.249,.303,.404
669004,MJ,Melendez,KC,129,460,57,100,21,3,18,62,66,131,2,3,.217,.313,.393
657041,Lane,Thomas,WSH,146,498,62,120,26,2,17,52,41,132,8,4,.241,.301,.404
571657,Kyle,Farmer,CIN,145,526,58,134,25,1,14,78,33,99,4,3,.255,.315,.386
457705,Andrew,McCutchen,MIL,134,515,66,122,25,0,17,69,57,124,8,6,.237,.316,.384
573262,Mike,Yastrzemski,SF,148,485,73,104,31,2,17,57,61,141,5,1,.214,.305,.392
592206,Nick,Castellanos,PHI,136,524,56,138,27,0,13,62,29,130,7,1,.263,.305,.389
467793,Carlos,Santana,SEA,131,431,52,87,18,0,19,60,71,88,0,0,.202,.316,.376
608385,Jesse,Winker,SEA,136,456,51,100,15,0,14,53,84,103,0,0,.219,.344,.344
542303,Marcell,Ozuna,ATL,124,470,56,106,19,0,23,56,31,122,2,1,.226,.274,.413
502054,Tommy,Pham,BOS,144,554,89,131,23,1,17,63,56,167,8,3,.236,.312,.374
518626,Josh,Donaldson,NYY,132,478,59,106,28,0,15,62,54,148,2,2,.222,.308,.374
572041,AJ,Pollock,CWS,138,489,61,120,26,1,14,56,32,98,3,1,.245,.292,.389
641487,J.P.,Crawford,SEA,145,518,57,126,24,3,6,42,68,80,3,2,.243,.339,.336
593160,Whit,Merrifield,TOR,139,504,70,126,28,1,11,58,38,85,16,5,.250,.298,.375
595879,Javier,Baez,DET,144,555,64,132,27,4,17,67,26,147,9,2,.238,.278,.393
542583,Jesus,Aguilar,BAL,129,464,39,109,19,0,16,51,28,119,1,0,.235,.281,.379
663647,Ke'Bryan,Hayes,PIT,136,505,55,123,24,3,7,41,48,122,20,5,.244,.314,.345
641355,Cody,Bellinger,LAD,144,504,70,106,27,3,19,68,38,150,14,3,.210,.265,.389
443558,Nelson,Cruz,WSH,124,448,50,105,16,0,10,64,49,119,4,0,.234,.313,.337
493329,Yuli,Gurriel,HOU,146,545,53,132,40,0,8,53,30,73,8,0,.242,.288,.360
622761,Jorge,Mateo,BAL,150,494,63,109,25,7,13,50,27,147,35,9,.221,.267,.379
643393,Tony,Kemp,OAK,147,497,61,117,24,2,7,46,45,69,11,1,.235,.307,.334
643396,Isiah,Kiner-Falefa,NYY,142,483,66,126,20,0,4,48,35,72,22,4,.261,.314,.327
514917,Cesar,Hernandez,WSH,147,560,64,139,28,4,1,34,45,114,10,4,.248,.311,.318
663757,Trent,Grisham,SD,152,451,58,83,16,2,17,53,57,150,7,1,.184,.284,.341
624428,Adam,Frazier,SEA,156,541,61,129,22,4,3,42,46,73,11,6,.238,.301,.311
500743,Miguel,Rojas,MIA,140,471,34,111,19,2,6,36,26,61,9,3,.236,.283,.323
664702,Myles,Straw,CLE,152,535,72,118,22,3,0,32,54,87,21,1,.221,.291,.273
570731,Jonathan,Schoop,DET,131,481,48,97,23,1,11,38,19,107,5,0,.202,.239,.322
