id,Nombre,Apellido,Posicion,Dorsal,Equipo,Fecha Nac,Edad,Lugar_Nacimiento,F_Debut,Peso,Estatura(mtrs),Mano_Bateo,Mano_Lanzar,Link_Ficha_Player
607043,Brandon,Nimmo,CF,9,Los Mets de Nueva York,1993-03-27,30, WY,2016-06-26,206,1.91,L,R,https://www.mlb.com/es/player/607043
650333,Luis,Arraez,2B,3,Los Marlins de Miami,1997-04-09,26, Venezuela,2019-05-18,175,1.55,L,R,https://www.mlb.com/es/player/650333
656555,Rhys,Hoskins,1B,17,Los Phillies de Filadelfia,1993-03-17,30, CA,2017-08-10,245,1.93,R,R,https://www.mlb.com/es/player/656555
553993,Eugenio,Suarez,3B,28,Los Mariners de Seattle,1991-07-18,31, Venezuela,2014-06-04,213,1.55,R,R,https://www.mlb.com/es/player/553993
502110,J.D.,Martinez,DH,28,Los Dodgers de Los Angeles,1987-08-21,35, FL,2011-07-30,230,1.91,R,R,https://www.mlb.com/es/player/502110
596019,Francisco,Lindor,SS,12,Los Mets de Nueva York,1993-11-14,29, Puerto Rico,2015-06-14,190,1.55,S,R,https://www.mlb.com/es/player/596019
457759,Justin,Turner,DH,2,Los Red Sox de Boston,1984-11-23,38, CA,2009-09-08,202,1.55,R,R,https://www.mlb.com/es/player/457759
672386,Alejandro,Kirk,C,30,Los Blue Jays de Toronto,1998-11-06,24, Mexico,2020-09-12,245,1.73,R,R,https://www.mlb.com/es/player/672386
605137,Josh,Bell,DH,55,Los Guardians de Cleveland,1992-08-14,30, TX,2016-07-08,261,1.93,S,R,https://www.mlb.com/es/player/605137
543068,C.J.,Cron,1B,25,Los Rockies de Colorado,1990-01-05,33, CA,2014-05-03,235,1.93,R,R,https://www.mlb.com/es/player/543068
664023,Ian,Happ,LF,8,Los Cubs de Chicago,1994-08-12,28, PA,2017-05-13,205,1.83,S,R,https://www.mlb.com/es/player/664023
621020,Dansby,Swanson,SS,7,Los Cubs de Chicago,1994-02-11,29, GA,2016-08-17,190,1.85,R,R,https://www.mlb.com/es/player/621020
664034,Ty,France,1B,23,Los Mariners de Seattle,1994-07-13,28, CA,2019-04-26,215,1.55,R,R,https://www.mlb.com/es/player/664034
680757,Steven,Kwan,LF,38,Los Guardians de Cleveland,1997-09-05,25, CA,2022-04-07,170,1.75,L,L,https://www.mlb.com/es/player/680757
623993,Anthony,Santander,RF,25,Los Orioles de Baltimore,1994-10-19,28, Venezuela,2017-08-18,230,1.88,S,R,https://www.mlb.com/es/player/623993
668227,Randy,Arozarena,LF,56,Los Rays de Tampa Bay,1995-02-28,28, Cuba,2019-08-14,185,1.55,R,R,https://www.mlb.com/es/player/668227
643217,Andrew,Benintendi,LF,23,Los White Sox de Chicago,1994-07-06,28, OH,2016-08-02,180,1.75,L,L,https://www.mlb.com/es/player/643217
608369,Corey,Seager,SS,5,Los Rangers de Texas,1994-04-27,29, NC,2015-09-03,215,1.93,L,R,https://www.mlb.com/es/player/608369
592192,Mark,Canha,LF,19,Los Mets de Nueva York,1989-02-15,34, CA,2015-04-08,209,1.88,R,R,https://www.mlb.com/es/player/592192
642133,Rowdy,Tellez,1B,11,Los Brewers de Milwaukee,1995-03-16,28, CA,2018-09-05,270,1.93,L,L,https://www.mlb.com/es/player/642133
570482,Gio,Urshela,3B,10,Los Angels de Los Angeles,1991-10-11,31, Colombia,2015-06-09,215,1.83,R,R,https://www.mlb.com/es/player/570482
660670,Ronald,Acuna,RF,13,Los Bravos de Atlanta,1997-12-18,25, Venezuela,2018-04-25,205,1.83,R,R,https://www.mlb.com/es/player/660670
650402,Gleyber,Torres,2B,25,Los Yankees de Nueva York,1996-12-13,26, Venezuela,2018-04-22,205,1.85,R,R,https://www.mlb.com/es/player/650402
669221,Sean,Murphy,C,12,Los Bravos de Atlanta,1994-10-04,28, NY,2019-05-19,228,1.91,R,R,https://www.mlb.com/es/player/669221
656305,Matt,Chapman,3B,26,Los Blue Jays de Toronto,1993-04-28,30, CA,2017-06-15,215,1.83,R,R,https://www.mlb.com/es/player/656305
642715,Willy,Adames,SS,27,Los Brewers de Milwaukee,1995-09-02,27, Dominican Republic,2018-05-22,214,1.85,R,R,https://www.mlb.com/es/player/642715
666969,Adolis,Garcia,RF,53,Los Rangers de Texas,1993-03-02,30, Cuba,2018-08-08,205,1.85,R,R,https://www.mlb.com/es/player/666969
683734,Andrew,Vaughn,1B,25,Los White Sox de Chicago,1998-04-03,25, CA,2021-04-02,215,1.83,R,R,https://www.mlb.com/es/player/683734
664913,Seth,Brown,LF,15,Los Athletics de Oakland,1992-07-13,30, OR,2019-08-26,223,1.85,L,L,https://www.mlb.com/es/player/664913
662139,Daulton,Varsho,LF,25,Los Blue Jays de Toronto,1996-07-02,26, WI,2020-07-30,207,1.55,L,R,https://www.mlb.com/es/player/662139
641857,Ryan,McMahon,3B,24,Los Rockies de Colorado,1994-12-14,28, CA,2017-08-12,219,1.88,L,R,https://www.mlb.com/es/player/641857
668942,Josh,Rojas,3B,10,Los D-Backs de Arizona,1994-06-30,28, AZ,2019-08-12,207,1.85,L,R,https://www.mlb.com/es/player/668942
592885,Christian,Yelich,LF,22,Los Brewers de Milwaukee,1991-12-05,31, CA,2013-07-23,207,1.91,L,R,https://www.mlb.com/es/player/592885
663538,Nico,Hoerner,2B,2,Los Cubs de Chicago,1997-05-13,26, CA,2019-09-09,200,1.85,R,R,https://www.mlb.com/es/player/663538
518934,DJ,LeMahieu,3B,26,Los Yankees de Nueva York,1988-07-13,34, CA,2011-05-30,220,1.93,R,R,https://www.mlb.com/es/player/518934
453568,Charlie,Blackmon,DH,19,Los Rockies de Colorado,1986-07-01,36, TX,2011-06-07,221,1.91,L,L,https://www.mlb.com/es/player/453568
663898,Brendan,Rodgers,2B,7,Los Rockies de Colorado,1996-08-09,26, FL,2019-05-17,204,1.83,R,R,https://www.mlb.com/es/player/663898
543760,Marcus,Semien,2B,2,Los Rangers de Texas,1990-09-17,32, CA,2013-09-04,195,1.83,R,R,https://www.mlb.com/es/player/543760
657077,Alex,Verdugo,RF,99,Los Red Sox de Boston,1996-05-15,27, AZ,2017-09-01,192,1.83,L,L,https://www.mlb.com/es/player/657077
606466,Ketel,Marte,2B,4,Los D-Backs de Arizona,1993-10-12,29, Dominican Republic,2015-07-31,210,1.85,S,R,https://www.mlb.com/es/player/606466
663624,Ryan,Mountcastle,1B,6,Los Orioles de Baltimore,1997-02-18,26, FL,2020-08-21,220,1.93,R,R,https://www.mlb.com/es/player/663624
500871,Eduardo,Escobar,3B,10,Los Mets de Nueva York,1989-01-05,34, Venezuela,2011-09-02,193,1.55,S,R,https://www.mlb.com/es/player/500871
669242,Tommy,Edman,SS,19,Los Cardenales de San Luis,1995-05-09,28, MI,2019-06-08,180,1.55,S,R,https://www.mlb.com/es/player/669242
545341,Randal,Grichuk,RF,15,Los Rockies de Colorado,1991-08-13,31, TX,2014-04-28,216,1.88,R,R,https://www.mlb.com/es/player/545341
621550,Patrick,Wisdom,3B,16,Los Cubs de Chicago,1991-08-27,31, CA,2018-08-12,220,1.88,R,R,https://www.mlb.com/es/player/621550
650859,Luis,Rengifo,2B,2,Los Angels de Los Angeles,1997-02-26,26, Venezuela,2019-04-25,195,1.55,S,R,https://www.mlb.com/es/player/650859
630105,Jake,Cronenworth,1B,9,Los Padres de San Diego,1994-01-21,29, MI,2020-07-26,187,1.83,L,R,https://www.mlb.com/es/player/630105
642731,Thairo,Estrada,2B,39,Los Gigantes de San Francisco,1996-02-22,27, Venezuela,2019-04-21,185,1.55,R,R,https://www.mlb.com/es/player/642731
